Date,Category,Region,Sales,Profit
2025-01-01,Technology,South,12000,2500
2025-01-05,Furniture,North,8500,1200
2025-01-10,Office Supplies,East,6200,1800
2025-01-15,Technology,West,15000,4200
2025-01-20,Furniture,South,9800,2100
2025-02-01,Office Supplies,North,7200,1900
2025-02-05,Technology,East,18500,5100
2025-02-10,Furniture,West,11200,2800
2025-02-15,Office Supplies,South,6800,1600
2025-02-20,Technology,North,14300,3500
2025-03-01,Furniture,East,10500,2300
2025-03-05,Office Supplies,West,7900,2000
2025-03-10,Technology,South,16700,4600
2025-03-15,Furniture,North,9200,1700
2025-03-20,Office Supplies,East,7500,2100
